artist,overgenres
'n Sync,pop
ABBA,pop
Ace Of Base,electronic
Adam Sandler,comedy
Adele,pop
Aerosmith,rock
Air Supply,rock
Aiza Seguerra,Various
Alabama,country
Alan Parsons Project,rock
Aled Jones,pop
Alice Cooper,rock
Alice In Chains,rock
Alison Krauss,country
Allman Brothers Band,rock
Alphaville,pop
America,rock
Amy Grant,Various
Andrea Bocelli,Various
Andy Williams,easy listening
Ariana Grande,pop
Ariel Rivera,Various
Arlo Guthrie,folk
Arrogant Worms,Various
Avril Lavigne,pop
Backstreet Boys,pop
Barbra Streisand,rock
Beach Boys,rock
Beautiful South,rock
Bee Gees,rock
Bette Midler,Various
Bill Withers,r&b and soul
Billie Holiday,Various
Billy Joel,rock
Bing Crosby,easy listening
Black Sabbath,rock
Blur,rock
Bob Dylan,rock
Bob Marley,caribbean and caribbean-influenced
Bob Rivers,comedy
Bob Seger,rock
Bon Jovi,Various
Boney M.,Various
Bonnie Raitt,rock
Bosson,pop
Bread,rock
Britney Spears,pop
Bruce Springsteen,rock
Bruno Mars,pop
Bryan White,country
Cake,rock
Carly Simon,rock
Carol Banawa,Various
Carpenters,rock
Cat Stevens,rock
Celine Dion,pop
Chaka Khan,r&b and soul
Cheap Trick,rock
Cher,pop
Chicago,rock
Chris Brown,pop
Chris Rea,rock
Christina Aguilera,pop
Christina Perri,pop
Christy Moore,folk
Chuck Berry,rock
Cinderella,rock
Clash,rock
Cliff Richard,pop
Coldplay,Various
Cole Porter,Various
Conway Twitty,country
Counting Crows,rock
Creedence Clearwater Revival,rock
Crowded House,rock
Culture Club,pop
Cyndi Lauper,pop
Dan Fogelberg,rock
Dave Matthews Band,rock
David Allan Coe,country
David Bowie,rock
David Guetta,pop
David Pomeranz,Various
Dean Martin,easy listening
Death,rock
Deep Purple,rock
Def Leppard,rock
Demi Lovato,pop
Depeche Mode,Various
Devo,rock
Dewa 19,Various
Diana Ross,r&b and soul
Dire Straits,rock
Dolly Parton,country
Don Henley,rock
Don McLean,Various
Don Moen,Various
Donna Summer,Various
Doobie Brothers,rock
Doors,rock
Doris Day,easy listening
Drake,hip-hop
Dream Theater,Various
Dusty Springfield,rock
Eagles,rock
Ed Sheeran,pop
Eddie Cochran,Various
Electric Light Orchestra,rock
Ella Fitzgerald,jazz
Ellie Goulding,pop
Elton John,rock
Elvis Costello,rock
Elvis Presley,Various
Eminem,hip-hop
Emmylou Harris,folk
Engelbert Humperdinck,easy listening
Enrique Iglesias,pop
Enya,Various
Erasure,pop
Eric Clapton,rock
Erik Santos,Various
Etta James,Various
Europe,rock
Eurythmics,pop
Evanescence,Various
Everclear,rock
Everlast,rock
Extreme,rock
Fabolous,hip-hop
Face To Face,punk rock
Faces,rock
Faith Hill,country
Faith No More,rock
Falco,pop
Fall Out Boy,punk rock
Fastball,rock
Fatboy Slim,Various
Fifth Harmony,pop
Fiona Apple,pop
Fleetwood Mac,rock
Flo-Rida,pop
Foo Fighters,rock
Foreigner,rock
Frank Sinatra,easy listening
Frank Zappa,rock
Frankie Goes To Hollywood,Various
Frankie Laine,Various
Frankie Valli,pop
Freddie Aguilar,Various
Freddie King,blues
Freestyle,Various
Fun.,Various
Garth Brooks,country
Gary Numan,rock
Gary Valenciano,Various
Genesis,rock
George Formby,comedy
George Harrison,rock
George Jones,country
George Michael,pop
George Strait,country
Gino Vannelli,rock
Gipsy Kings,world
Glee,Various
Glen Campbell,pop
Gloria Estefan,pop
Gloria Gaynor,Various
Gordon Lightfoot,rock
Grand Funk Railroad,rock
Grateful Dead,rock
Great Big Sea,rock
Green Day,Various
Gucci Mane,hip-hop
Guided By Voices,rock
Guns N' Roses,rock
Hank Snow,country
Hank Williams,country
Hank Williams Jr.,country
Hanson,rock
Happy Mondays,electronic
Harry Belafonte,Various
"Harry Connick, Jr.",Various
Heart,rock
Helloween,heavy metal
High School Musical,pop
Hillsong,Various
Hillsong United,Various
HIM,Various
Hollies,rock
Hooverphonic,electronic
Housemartins,Various
Howard Jones,Various
Human League,Various
Ian Hunter,rock
Ice Cube,hip-hop
Idina Menzel,Various
Iggy Pop,rock
Il Divo,pop
Imagine Dragons,rock
Imperials,Various
Incognito,Various
Incubus,rock
Indiana Bible College,Various
Indigo Girls,Various
Ingrid Michaelson,Various
Inna,pop
Insane Clown Posse,Various
INXS,rock
Iron Butterfly,rock
Iron Maiden,rock
Irving Berlin,Various
Isley Brothers,r&b and soul
Israel Houghton,Various
J Cole,hip-hop
Jackson Browne,rock
James Taylor,rock
Janis Joplin,rock
Jason Mraz,Various
Jennifer Lopez,pop
Jim Croce,rock
Jimi Hendrix,rock
Jimmy Buffett,rock
John Denver,rock
John Legend,r&b and soul
John Martyn,folk
John McDermott,Various
John Mellencamp,rock
John Prine,folk
John Waite,rock
Johnny Cash,country
Joni Mitchell,Various
Jose Mari Chan,Various
Josh Groban,Various
Journey,rock
Joy Division,rock
Judas Priest,heavy metal
Judds,country
Judy Garland,Various
Justin Bieber,pop
Justin Timberlake,pop
Kanye West,hip-hop
Kari Jobe,Various
Kate Bush,rock
Katy Perry,pop
Keith Green,Various
Keith Urban,country
Kelly Clarkson,pop
Kenny Chesney,country
Kenny Loggins,rock
Kenny Rogers,Various
Kid Rock,heavy metal
Kim Wilde,pop
King Crimson,rock
King Diamond,heavy metal
Kinks,rock
Kirk Franklin,Various
Kirsty Maccoll,Various
Kiss,rock
Korn,heavy metal
Kris Kristofferson,folk
Kyla,electronic
Kylie Minogue,pop
Lady Gaga,pop
Lana Del Rey,pop
Lauryn Hill,Various
Lea Salonga,Various
Leann Rimes,country
Lenny Kravitz,rock
Leo Sayer,Various
Leonard Cohen,folk
Les Miserables,Various
Lil Wayne,hip-hop
Linda Ronstadt,Various
Linkin Park,heavy metal
Lionel Richie,r&b and soul
Little Mix,pop
Little Walter,blues
LL Cool J,hip-hop
Lloyd Cole,rock
Lorde,pop
Loretta Lynn,country
Lou Reed,rock
Louis Armstrong,Various
Louis Jordan,jazz
Lucky Dube,caribbean and caribbean-influenced
Luther Vandross,r&b and soul
Lynyrd Skynyrd,rock
Madonna,pop
Manowar,heavy metal
Mariah Carey,pop
Marianne Faithfull,Various
Marillion,rock
Marilyn Manson,Various
Mark Ronson,pop
Maroon 5,Various
Mary Black,folk
Matt Monro,easy listening
Matt Redman,Various
Mazzy Star,Various
Mc Hammer,hip-hop
Meat Loaf,rock
Megadeth,heavy metal
Men At Work,rock
Metallica,heavy metal
Michael Bolton,Various
Michael Buble,Various
Michael Jackson,r&b and soul
