subgenre,overgenre
Afrobeat,African
African hip hop,African
African heavy metal,African
Apala,African
Benga,African
Boomba,African
Bongo Flava,African
Bikutsi,African
Cape Jazz,African
Chimurenga,African
Congolese rumba,African
Coupé-Décalé,African
Fuji,African
Genge,African
Highlife,African
Hiplife,African
Igbo highlife,African
Igbo rap,African
Isicathamiya,African
Jit,African
Jùjú,African
Gqom,African
Kadongo Kamu,African
Kizomba,African
Kuduro,African
Kwaito,African
Kwela,African
Makossa,African
Maloya,African
Marabi,African
Marrabenta,African
Mbalax,African
Mbaqanga,African
Mbube,African
Morna,African
Ndombolo,African
Palm-wine,African
Raï,African
Sega,African
Shangaan electro,African
Soukous,African
Kwassa kwassa,African
Taarab,African
Zouglou,African
Fijiri,Asian
Khaliji,Asian
Liwa,Asian
Sawt,Asian
C-pop,East Asian
Cantopop,East Asian
Mandopop,East Asian
Taiwanese pop,East Asian
Chinese rock,East Asian
Enka,East Asian
Hong Kong English pop,East Asian
J-pop,East Asian
Japanese jazz,East Asian
Japanese rock,East Asian
Kayōkyoku,East Asian
K-pop,East Asian
Korean hip hop,East Asian
Trot,East Asian
Asian Underground,South Asian
Baila,South Asian
Baul,South Asian
Bhangra,South Asian
Bhawaiya,South Asian
Goa trance,South Asian
Indian Classical,South Asian
Hindustani Classical,South Asian
Carnatic,South Asian
Indian jazz,South Asian
Indian pop,South Asian
Indian rock,South Asian
Raga rock,South Asian
Lavani,South Asian
Morlam,South Asian
Ragini,South Asian
Sufi rock,South Asian
Dangdut,Southeast Asian
Indo pop,Southeast Asian
Luk thung,Southeast Asian
Luk Krung,Southeast Asian
Manila Sound,Southeast Asian
Original Pilipino,Southeast Asian
Mor lam,Southeast Asian
Pinoy pop,Southeast Asian
Pop sunda,Southeast Asian
Thai string pop,Southeast Asian
Thai pop,Southeast Asian
V-pop,Southeast Asian
Experimental,Avant-garde
Noise,Avant-garde
Harsh Noise,Avant-garde
Harsh noise wall,Avant-garde
Outsider music,Avant-garde
Lo-fi,Avant-garde
Musique concrète,Avant-garde
Electroacoustic,Avant-garde
African blues,Blues
Blues rock,Blues
Canadian blues,Blues
Chicago blues,Blues
Classic female blues,Blues
Contemporary R&B,Blues
Country blues,Blues
Delta blues,Blues
Detroit blues,Blues
Electric blues,Blues
Gospel blues,Blues
Hill country blues,Blues
Jump blues,Blues
Kansas City blues,Blues
Louisiana blues,Blues
Memphis blues,Blues
Piedmont blues,Blues
Punk blues,Blues
Rhythm and blues,Blues
Soul blues,Blues
St. Louis blues,Blues
Swamp blues,Blues
Texas blues,Blues
West Coast blues,Blues
Baithak Gana,Caribbean and Caribbean-influenced
Dancehall,Caribbean and Caribbean-influenced
Bouyon,Caribbean and Caribbean-influenced
Cadence-lypso,Caribbean and Caribbean-influenced
Calypso,Caribbean and Caribbean-influenced
Cha-cha-chá,Caribbean and Caribbean-influenced
Chutney,Caribbean and Caribbean-influenced
Chutney soca,Caribbean and Caribbean-influenced
Chutney parang,Caribbean and Caribbean-influenced
Compas,Caribbean and Caribbean-influenced
Mambo,Caribbean and Caribbean-influenced
Merengue,Caribbean and Caribbean-influenced
Méringue,Caribbean and Caribbean-influenced
Mozambique,Caribbean and Caribbean-influenced
Pichakaree,Caribbean and Caribbean-influenced
Punta,Caribbean and Caribbean-influenced
Punta Rock,Caribbean and Caribbean-influenced
Rasin,Caribbean and Caribbean-influenced
Reggae,Caribbean and Caribbean-influenced
Dub,Caribbean and Caribbean-influenced
Lovers rock,Caribbean and Caribbean-influenced
Ragga,Caribbean and Caribbean-influenced
Ragga jungle,Caribbean and Caribbean-influenced
Reggae fusion,Caribbean and Caribbean-influenced
Reggaeton,Caribbean and Caribbean-influenced
Rocksteady,Caribbean and Caribbean-influenced
Rumba,Caribbean and Caribbean-influenced
Ska,Caribbean and Caribbean-influenced
Two-tone,Caribbean and Caribbean-influenced
Ska punk,Caribbean and Caribbean-influenced
Salsa,Caribbean and Caribbean-influenced
Son cubano,Caribbean and Caribbean-influenced
Songo,Caribbean and Caribbean-influenced
Soca,Caribbean and Caribbean-influenced
Power Soca,Caribbean and Caribbean-influenced
Timba,Caribbean and Caribbean-influenced
Twoubadou,Caribbean and Caribbean-influenced
Zouk,Caribbean and Caribbean-influenced
Comedy,Comedy
Comedy rock,Comedy
Novelty,Comedy
Parody,Comedy
Alternative country,Country
Cowpunk,Country
Americana,Country
Australian country,Country
Bakersfield sound,Country
Bluegrass,Country
Progressive bluegrass,Country
Cajun,Country
Cajun fiddle,Country
Christian country,Country
Classic country,Country
Close harmony,Country
Country blues,Country
Country pop,Country
Country rap,Country
Country rock,Country
Cowboy,Country
Cowboy pop,Country
Dansband,Country
Hokum,Country
Honky tonk,Country
Música sertaneja,Country
Nashville sound,Country
Neotraditional country,Country
Outlaw country,Country
Progressive country,Country
Red Dirt,Country
Rockabilly,Country
Hellbilly,Country
Psychobilly,Country
Texas country,Country
Traditional country,Country
Truck-driving country,Country
Western swing,Country
Zydeco,Country
Background music,Easy listening
Beautiful music,Easy listening
Elevator music,Easy listening
Furniture music,Easy listening
Lounge music,Easy listening
Middle of the road music,Easy listening
New-age music,Easy listening
Ambient,Electronic
Ambient dub,Electronic
Dark ambient,Electronic
Dungeon synth,Electronic
Drone,Electronic
Space,Electronic
Illbient,Electronic
Psybient,Electronic
Breakbeat,Electronic
Acid breaks,Electronic
Baltimore club,Electronic
Jersey club,Electronic
Big beat,Electronic
Broken beat,Electronic
Florida breaks,Electronic
Nu-funk,Electronic
Miami bass,Electronic
Nu skool breaks,Electronic
Disco,Electronic
Afro/Cosmic,Electronic
Disco polo,Electronic
Euro disco,Electronic
Italo disco,Electronic
Nu-disco,Electronic
Space disco,Electronic
Downtempo,Electronic
Acid jazz,Electronic
Chill-out,Electronic
New-age,Electronic
Space,Electronic
Trip hop,Electronic
Drum and bass,Electronic
Liquid funk,Electronic
Neurofunk,Electronic
Neurohop,Electronic
Jump-up,Electronic
Darkstep,Electronic
Drumstep,Electronic
Funkstep,Electronic
Hardstep,Electronic
Sambass,Electronic
Techstep,Electronic
Dub,Electronic
Ambient dub,Electronic
Dancehall,Electronic
Dub poetry,Electronic
Dub reggae,Electronic
Dub techno,Electronic
Dubstep,Electronic
Dubtronica,Electronic
Electro,Electronic
Freestyle,Electronic
Electro-industrial,Electronic
Electroacoustic,Electronic
Acousmatic,Electronic
Musique concrète,Electronic
Modular,Electronic
Electronic dance music,Electronic
Electronic rock,Electronic
Alternative dance,Electronic
Indietronica,Electronic
Coldwave,Electronic
Dance-punk,Electronic
Dark wave,Electronic
Electroclash,Electronic
Electronicore,Electronic
Nintendocore,Electronic
Electropunk,Electronic
Ethereal wave,Electronic
Krautrock,Electronic
Minimal wave,Electronic
New rave,Electronic
Nu-gaze,Electronic
Space rock,Electronic
Synthpop,Electronic
Electronica,Electronic
Dubtronica,Electronic
Folktronica,Electronic
Funktronica,Electronic
Laptronica,Electronic
Livetronica,Electronic
Ethnic electronica,Electronic
Al Jeel,Electronic
Arabic pop,Electronic
Asian underground,Electronic
Bhangra,Electronic
Bhangragga,Electronic
C-pop,Electronic
Cantopop,Electronic
J-pop,Electronic
City pop,Electronic
Shibuya-kei,Electronic
K-pop,Electronic
