artist,genres
ABBA,europop
Ace Of Base,bubblegum dance
Ace Of Base,eurodance
Ace Of Base,europop
Ace Of Base,hip house
Ace Of Base,pop rock
Adam Sandler,comedy
Adele,pop
Aerosmith,hard rock
Aerosmith,rock
Air Supply,soft rock
Alabama,country
Alabama,country rock
Alan Parsons Project,art rock
Alan Parsons Project,progressive rock
Alan Parsons Project,soft rock
Aled Jones,operatic pop
Alice Cooper,blues rock
Alice Cooper,glam metal
Alice Cooper,glam rock
Alice Cooper,hard rock
Alice Cooper,rock
Alice In Chains,alternative metal
Alice In Chains,alternative rock
Alice In Chains,grunge
Alice In Chains,hard rock
Alice In Chains,nu metal
Alice In Chains,post-grunge
Alice In Chains,rock
Alison Krauss,bluegrass
Alison Krauss,folk
Alison Krauss,progressive bluegrass
Allman Brothers Band,blues rock
Allman Brothers Band,country rock
Allman Brothers Band,electric blues
Allman Brothers Band,folk rock
Allman Brothers Band,hard rock
Allman Brothers Band,psychedelic rock
Allman Brothers Band,rock
Allman Brothers Band,soft rock
Allman Brothers Band,southern rock
Alphaville,europop
Alphaville,new romantic
Alphaville,new wave
Alphaville,synthpop
America,art rock
America,country rock
America,folk
America,folk rock
America,rock
America,soft rock
Andrea Bocelli,operatic pop
Andy Williams,easy listening
Ariana Grande,pop
Ariel Rivera,soft rock
Arlo Guthrie,country rock
Arlo Guthrie,folk
Arlo Guthrie,folk rock
Arlo Guthrie,singer-songwriter
Arlo Guthrie,traditional folk
Avril Lavigne,pop
Backstreet Boys,europop
Backstreet Boys,pop
Barbra Streisand,soft rock
Beach Boys,baroque pop
Beach Boys,folk rock
Beach Boys,psychedelic rock
Beach Boys,rock
Beach Boys,sunshine pop
The Beatles,psychedelic rock
The Beatles,rock
Beautiful South,britpop
Beautiful South,pop rock
Bee Gees,disco
Bee Gees,soft rock
Bette Midler,soft rock
Bill Withers,funk
Bill Withers,soul
Billie Holiday,jazz blues
Billie Holiday,soul
Billie Holiday,vocal jazz
Billy Joel,folk rock
Billy Joel,rock
Billy Joel,singer-songwriter
Billy Joel,soft rock
Bing Crosby,easy listening
Black Sabbath,hard rock
Black Sabbath,rock
Black Sabbath,stoner rock
Blur,alternative rock
Blur,britpop
Blur,garage rock
Blur,pop rock
Blur,rock
Bob Dylan,country rock
Bob Dylan,folk
Bob Dylan,folk rock
Bob Dylan,rock
Bob Dylan,singer-songwriter
Bob Marley,reggae
Bob Rivers,parody
Bob Seger,blues rock
Bob Seger,country rock
Bob Seger,folk rock
Bob Seger,hard rock
Bob Seger,rock
Bob Seger,soft rock
Bon Jovi,glam metal
Bon Jovi,rock
Boney M.,disco
Boney M.,europop
Bonnie Raitt,country rock
Bonnie Raitt,electric blues
Bonnie Raitt,folk
Bonnie Raitt,folk rock
Bonnie Raitt,pop rock
Bonnie Raitt,singer-songwriter
Bonnie Raitt,soft rock
Bosson,art rock
Bosson,country rock
Bosson,hard rock
Bosson,rock
Bosson,soft rock
Bread,country rock
Bread,folk
Bread,folk rock
Bread,soft rock
Britney Spears,pop
Bruce Springsteen,rock
Bruce Springsteen,singer-songwriter
Bruno Mars,pop
Bryan White,country
Cake,alternative rock
Cake,garage rock
Cake,pop rock
Cake,post-grunge
Cake,rock
Carly Simon,country rock
Carly Simon,folk
Carly Simon,folk rock
Carly Simon,singer-songwriter
Carly Simon,soft rock
Carpenters,soft rock
Cat Stevens,folk
Cat Stevens,folk rock
Cat Stevens,rock
Cat Stevens,singer-songwriter
Cat Stevens,soft rock
Chaka Khan,disco
Chaka Khan,funk
Chaka Khan,neo soul
Chaka Khan,post-disco
Chaka Khan,soul
Cheap Trick,art rock
Cheap Trick,glam metal
Cheap Trick,glam rock
Cheap Trick,hard rock
Cheap Trick,pop rock
Cheap Trick,power pop
Cheap Trick,rock
Cheap Trick,soft rock
Cher,pop
Chicago,folk rock
Chicago,soft rock
Chris Brown,pop
Chris Rea,art rock
Chris Rea,blues rock
Chris Rea,soft rock
Christina Aguilera,pop
Christina Perri,pop
Christina Perri,pop rock
Christy Moore,celtic
Chuck Berry,blues rock
Chuck Berry,folk rock
Chuck Berry,rock
Chuck Berry,rockabilly
Chuck Berry,soul
Cinderella,glam metal
Cinderella,hard rock
Cinderella,rock
Clash,rock
Cliff Richard,bubblegum pop
Cliff Richard,rockabilly
Cliff Richard,soft rock
Coldplay,pop
Conway Twitty,country
Conway Twitty,country rock
Counting Crows,alternative rock
Counting Crows,pop rock
Counting Crows,post-grunge
Counting Crows,rock
